id;title;description;status;priority;dependencies;complexity
4.4;Développer la gestion des sessions;Développer la gestion des sessions pour les utilisateurs connectés;fait;Haute;(4.3);3/10
4.5;Tester l'authentification;Tester l'authentification pour s'assurer de son fonctionnement correct;fait;Haute;(4.4);3/10
5;Gestion des utilisateurs/professionnels;Endpoints CRUD, profils, settings, rôles;fait;Haute;(3,4);6/10
5.1;Créer les modèles et services user/pro;Définir les modèles User, Professional, UserService;fait;Haute;(5);3/10
5.2;Implémenter les endpoints CRUD user/pro;Créer les routes pour la gestion des profils, settings, rôles;fait;Haute;(5.1);3/10
5.3;Développer la gestion des permissions;Développer la gestion des permissions pour les utilisateurs et professionnels;fait;Haute;(5.2);3/10
5.4;Tester la gestion des utilisateurs/professionnels;Tester la gestion des utilisateurs/professionnels pour s'assurer de son fonctionnement correct;fait;Haute;(5.3);3/10
6;Gestion des services;CRUD services, activation, recherche, filtres;fait;Haute;(3,5);7/10
6.1;Créer le modèle Service et la logique métier;Définir le modèle Service, validation, activation/inactivation;à faire;Haute;(6);3/10
6.2;Implémenter les endpoints CRUD services;Créer les routes pour ajouter, modifier, supprimer, activer;fait;Haute;(6.1);2/10
6.3;Développer la recherche et les filtres;Endpoints pour la recherche avancée, filtres dynamiques;fait;Haute;(6.2);3/10
6.4;Développer la gestion des catégories;Développer la gestion des catégories pour les services;fait;Haute;(6.3);3/10
6.5;Tester la gestion des services;Tester la gestion des services pour s'assurer de son fonctionnement correct;fait;Haute;(6.4);3/10
7;Gestion des disponibilités;Endpoints pour gérer les créneaux simples et récurrents;à faire;Moyenne;(3,5);6/10
7.1;Définir le modèle Availability;Créer le modèle, gestion des créneaux récurrents et exceptions;fait;Moyenne;(7);3/10
7.2;Implémenter les endpoints CRUD disponibilités;Créer les routes pour ajouter, éditer, supprimer des créneaux;fait;Moyenne;(7.1);3/10
7.3;Développer la gestion des exceptions;Développer la gestion des exceptions pour les disponibilités;fait;Moyenne;(7.2);3/10
7.4;Tester la gestion des disponibilités;Tester la gestion des disponibilités pour s'assurer de son fonctionnement correct;fait;Moyenne;(7.3);3/10
8;Réservations (bookings);Endpoints pour réserver, consulter, annuler selon règles métier;à faire;Haute;(3,5,6,7);8/10
8.1;Créer le modèle Booking et la logique métier;Définir le modèle Booking, gestion des statuts, règles d’annulation;fait;Haute;(8);3/10
8.2;Implémenter les endpoints réservation;Créer les routes pour réserver, consulter, annuler;fait;Haute;(8.1);3/10
8.3;Gérer les conflits et validations;Vérifier les conflits de créneaux, validation des règles métier;fait;Haute;(8.2);2/10
8.4;Notifier les utilisateurs;Envoyer une notification in-app lors de chaque changement de statut;fait;Moyenne;(8.3);2/10
8.5;Développer la gestion des remboursements;Développer la gestion des remboursements pour les réservations;fait;Haute;(8.4);3/10
8.6;Tester la gestion des réservations;Tester la gestion des réservations pour s'assurer de son fonctionnement correct;fait;Haute;(8.5);3/10
9;Messagerie;Endpoints pour créer conversations/messages;à faire;Moyenne;(3,5,8);6/10
9.1;Créer les modèles Conversation/Message;Définir les modèles, gestion des participants, pagination;à faire;Moyenne;(9);3/10
9.2;Implémenter les endpoints CRUD messagerie;Créer les routes pour envoyer, lire, supprimer des messages;à faire;Moyenne;(9.1);3/10
9.3;Développer la gestion des notifications;Développer la gestion des notifications pour les messages;à faire;Moyenne;(9.2);3/10
9.4;Tester la messagerie;Tester la messagerie pour s'assurer de son fonctionnement correct;à faire;Moyenne;(9.3);3/10
